timestamp,nickname,world,level,exp
2025-12-25 09:18:09,1000년정지,챌린저스2,275,6609325945858
2025-12-25 09:18:09,늙음의한계,챌린저스3,276,5983356284870
2025-12-25 09:18:09,산큄,챌린저스2,276,3648436109973
2025-12-25 09:18:09,화방핑,챌린저스2,276,3113110950523
2025-12-25 09:18:09,먁춥,챌린저스3,276,1429082548446
2025-12-25 09:18:09,드팰e,챌린저스2,276,932353047567
2025-12-25 09:18:09,유셔련,챌린저스3,276,7733628162720
2025-12-25 09:18:09,힘들어,챌린저스3,275,11169190098476
2025-12-25 09:18:09,죤얩,챌린저스3,275,10528984944731
2025-12-25 09:18:09,역픕,챌린저스3,276,4144965251023
2025-12-25 09:18:09,댄담이담,챌린저스3,276,5463829547399
2025-12-25 09:18:09,작은새의시,챌린저스3,276,6214758077048
2025-12-25 09:18:09,조때써용,챌린저스3,275,5452721457882
2025-12-25 09:18:09,설묘랑아,챌린저스3,276,1530197042754
2025-12-25 09:18:09,피클서쿠,챌린저스3,275,8298599212964
2025-12-25 09:18:09,웨즈카가,챌린저스3,276,3590663176031
2025-12-25 09:18:09,머1수,챌린저스3,276,5735735381500
2025-12-25 09:18:09,MisuzuHataya,챌린저스2,276,1150332251258
2025-12-25 09:18:09,썬무컁,챌린저스3,276,5528291650800
2025-12-25 09:18:09,에불렘,챌린저스2,275,6994340773607
2025-12-25 09:18:09,네그야,챌린저스2,275,10449789840960
2025-12-25 09:18:09,조명버섯,챌린저스3,277,2041363060588
2025-12-25 09:18:09,망울메이지,챌린저스3,275,10190282044523
2025-12-25 09:18:09,밤히리,챌린저스3,275,7397955276734
2025-12-25 09:18:09,sz혜민sz,챌린저스3,276,750370061696
2025-12-25 09:18:09,유잉에몽,챌린저스3,275,6430068768156
2025-12-25 09:18:09,악겅이,챌린저스3,275,4377146486098
2025-12-25 09:18:09,성도보마,챌린저스3,275,3771083417224
2025-12-25 09:18:09,푸른깡지,챌린저스3,275,7148088173342
2025-12-25 09:18:09,버금티어,챌린저스3,275,7948141201681
2025-12-25 09:18:09,엘릭서쌈,챌린저스3,276,5441750096898
2025-12-25 09:18:09,l이클릿l,챌린저스3,276,6291685599470
2025-12-25 09:18:09,떠언서,챌린저스3,276,519174222416
2025-12-25 09:18:09,개백수춘식이,챌린저스3,275,4425792345580
2025-12-25 09:18:09,파라1,챌린저스3,275,4410174395259
2025-12-25 09:18:09,제로비렌,챌린저스3,275,10982437524374
2025-12-25 09:18:09,복화흉,챌린저스3,275,4215644149776
2025-12-25 09:18:09,채린냥이,챌린저스4,275,10531765635207
2025-12-25 09:18:09,소아은,챌린저스3,275,5261467540423
2025-12-25 09:18:09,갸루여고생,챌린저스3,276,929332327923
2025-12-25 09:18:09,녕냥이썬콜,챌린저스3,276,2340624336784
2025-12-25 09:18:09,배틀쉽박,챌린저스3,275,9053988195415
2025-12-25 09:18:09,꽁꽁건호,챌린저스4,276,3828576947512
2025-12-25 09:18:09,흑인전남친,챌린저스3,275,8434905470987
2025-12-25 09:18:09,서영제장례식,챌린저스4,276,2125380385143
2025-12-25 09:18:09,근들후,챌린저스3,275,11012655771195
2025-12-25 09:18:09,닙펏,챌린저스3,275,7313066115026
2025-12-25 09:18:09,잔르하,챌린저스3,275,5559454048174
2025-12-25 09:18:09,안즈에이지,챌린저스3,275,3655831204590
2025-12-25 09:18:09,대황솔,챌린저스3,276,1089969867916
2025-12-25 09:18:09,오포퀴,챌린저스3,275,3380667311988
2025-12-25 09:18:09,캐오카,챌린저스3,275,6885275281451
2025-12-25 09:18:09,캡띤낑,챌린저스4,277,3524482995427
2025-12-25 09:18:09,눈꽃원영,챌린저스3,275,4679697106812
2025-12-25 09:18:09,치킨앙쐬주,챌린저스3,276,559233360421
2025-12-25 09:18:09,시로슈고,챌린저스4,276,9041004694449
2025-12-25 09:18:09,꼬망이,챌린저스3,275,5304060614676
2025-12-25 09:18:09,레프랙터,챌린저스4,275,5391156793330
2025-12-25 09:18:09,가미피,챌린저스3,275,2409709983516
2025-12-25 09:18:09,삐슝빠슝좍,챌린저스4,276,5202278841480
